From_Station,To_Station,Line,Has_Signal,Travel_Time
Turnham Green,Acton Town,piccadilly,True,3
Acton Town,Ealing Common,piccadilly,True,2
Ealing Common,North Ealing,piccadilly,True,2
North Ealing,Park Royal,piccadilly,True,2
Park Royal,Alperton,piccadilly,True,3
Alperton,Sudbury Town,piccadilly,True,3
Sudbury Town,Sudbury Hill,piccadilly,True,3
Sudbury Hill,South Harrow,piccadilly,True,2
South Harrow,Rayners Lane,piccadilly,True,8
Rayners Lane,Eastcote,piccadilly,False,3
Eastcote,Ruislip Manor,piccadilly,False,2
Ruislip Manor,Ruislip,piccadilly,True,0
Ruislip,Ickenham,piccadilly,True,0
Ickenham,Hillingdon,piccadilly,True,1
Hillingdon,Uxbridge,piccadilly,True,4
Acton Town,South Ealing,piccadilly,True,3
South Ealing,Northfields,piccadilly,True,2
Northfields,Boston Manor,piccadilly,True,2
Boston Manor,Osterley,piccadilly,True,3
Osterley,Hounslow East,piccadilly,True,2
Hounslow East,Hounslow Central,piccadilly,True,2
Hounslow Central,Hounslow West,piccadilly,True,3
Hounslow West,Hatton Cross,piccadilly,True,4
Hatton Cross,Heathrow Terminal 4,piccadilly,False,3
Hatton Cross,Heathrow Terminals 2 & 3,piccadilly,False,59
Heathrow Terminals 2 & 3,Heathrow Terminal 5,piccadilly,False,68
Heathrow Terminal 4,Heathrow Terminals 2 & 3,piccadilly,False,70
Heathrow Terminals 2 & 3,Hatton Cross,piccadilly,False,58
Hatton Cross,Hounslow West,piccadilly,True,4
Hounslow West,Hounslow Central,piccadilly,True,2
Hounslow Central,Hounslow East,piccadilly,True,2
Hounslow East,Osterley,piccadilly,True,2
Osterley,Boston Manor,piccadilly,True,4
Boston Manor,Northfields,piccadilly,True,3
Northfields,South Ealing,piccadilly,True,1
South Ealing,Acton Town,piccadilly,True,5
Acton Town,Turnham Green,piccadilly,True,4
Turnham Green,Hammersmith (Dist&Picc Line),piccadilly,False,5
Hammersmith (Dist&Picc Line),Barons Court,piccadilly,False,2
Barons Court,Earl's Court,piccadilly,False,5
Earl's Court,Gloucester Road,piccadilly,False,2
Gloucester Road,South Kensington,piccadilly,False,2
South Kensington,Knightsbridge,piccadilly,False,3
Knightsbridge,Hyde Park Corner,piccadilly,True,1
Hyde Park Corner,Green Park,piccadilly,True,2
Green Park,Piccadilly Circus,piccadilly,True,19
Piccadilly Circus,Leicester Square,piccadilly,True,1
Leicester Square,Covent Garden,piccadilly,True,1
Covent Garden,Holborn,piccadilly,True,2
Holborn,Russell Square,piccadilly,True,2
Russell Square,King's Cross St. Pancras,piccadilly,False,0
King's Cross St. Pancras,Caledonian Road,piccadilly,False,0
Caledonian Road,Holloway Road,piccadilly,True,1
Holloway Road,Arsenal,piccadilly,True,22
Arsenal,Finsbury Park,piccadilly,False,0
Finsbury Park,Manor House,piccadilly,False,0
Manor House,Turnpike Lane,piccadilly,True,3
Turnpike Lane,Wood Green,piccadilly,True,2
Wood Green,Bounds Green,piccadilly,True,2
Bounds Green,Arnos Grove,piccadilly,True,4
Arnos Grove,Southgate,piccadilly,True,3
Southgate,Oakwood,piccadilly,True,3
Oakwood,Cockfosters,piccadilly,True,3
Heathrow Terminal 5,Heathrow Terminals 2 & 3,piccadilly,False,65
Uxbridge,Hillingdon,piccadilly,True,2
Hillingdon,Ickenham,piccadilly,True,2
Ickenham,Ruislip,piccadilly,True,0
Ruislip,Ruislip Manor,piccadilly,True,0
Ruislip Manor,Eastcote,piccadilly,False,2
Eastcote,Rayners Lane,piccadilly,False,4
Rayners Lane,South Harrow,piccadilly,True,3
South Harrow,Sudbury Hill,piccadilly,True,2
Sudbury Hill,Sudbury Town,piccadilly,True,3
Sudbury Town,Alperton,piccadilly,True,2
Alperton,Park Royal,piccadilly,True,4
Park Royal,North Ealing,piccadilly,True,2
North Ealing,Ealing Common,piccadilly,True,2
Ealing Common,Acton Town,piccadilly,True,3
Brixton,Stockwell,victoria,False,0
Stockwell,Vauxhall,victoria,True,0
Vauxhall,Pimlico,victoria,True,0
Pimlico,Victoria,victoria,True,0
Victoria,Green Park,victoria,True,0
Green Park,Oxford Circus,victoria,True,1
Oxford Circus,Warren Street,victoria,True,1
Warren Street,Euston,victoria,True,0
Euston,King's Cross St. Pancras,victoria,False,0
King's Cross St. Pancras,Highbury & Islington,victoria,False,0
Highbury & Islington,Finsbury Park,victoria,False,0
Finsbury Park,Seven Sisters,victoria,False,0
Seven Sisters,Tottenham Hale,victoria,True,0
Tottenham Hale,Blackhorse Road,victoria,False,0
Blackhorse Road,Walthamstow Central,victoria,False,0
Walthamstow Central,Blackhorse Road,victoria,False,0
Blackhorse Road,Tottenham Hale,victoria,False,0
Tottenham Hale,Seven Sisters,victoria,True,0
Seven Sisters,Finsbury Park,victoria,False,0
Finsbury Park,Highbury & Islington,victoria,False,0
Highbury & Islington,King's Cross St. Pancras,victoria,False,0
King's Cross St. Pancras,Euston,victoria,False,0
Euston,Warren Street,victoria,True,0
Warren Street,Oxford Circus,victoria,True,1
Oxford Circus,Green Park,victoria,True,14
Green Park,Victoria,victoria,True,0
Victoria,Pimlico,victoria,True,0
Pimlico,Vauxhall,victoria,True,0
Vauxhall,Stockwell,victoria,True,0
Stockwell,Brixton,victoria,False,0
Waterloo,Bank,Waterloo & City,False,4
Bank,Waterloo,Waterloo & City,False,4
Whitechapel,Liverpool Street,hammersmith-city,True,3
Liverpool Street,Moorgate,hammersmith-city,True,2
Moorgate,Barbican,hammersmith-city,True,2
Barbican,Farringdon,hammersmith-city,True,2
Farringdon,King's Cross St. Pancras,hammersmith-city,True,3
King's Cross St. Pancras,Euston Square,hammersmith-city,True,2
Euston Square,Great Portland Street,hammersmith-city,True,2
Great Portland Street,Baker Street,hammersmith-city,True,2
Baker Street,Finchley Road,metropolitan,True,5
Finchley Road,Wembley Park,metropolitan,True,7
Wembley Park,Finchley Road,metropolitan,True,7
Finchley Road,Baker Street,metropolitan,True,5
Baker Street,Great Portland Street,hammersmith-city,True,2
Great Portland Street,Euston Square,hammersmith-city,True,2
Euston Square,King's Cross St. Pancras,hammersmith-city,True,2
King's Cross St. Pancras,Farringdon,hammersmith-city,True,3
Farringdon,Barbican,hammersmith-city,True,2
Barbican,Moorgate,hammersmith-city,True,2
Moorgate,Liverpool Street,hammersmith-city,True,2
Liverpool Street,Whitechapel,hammersmith-city,True,3
